指标,随机初始化,推荐策略(random)
Makespan均值,371.60,366.05
Makespan标准差,24.08,25.83
Makespan最小值,342,309
Makespan最大值,419,400
收敛代数均值,24.10,22.40
收敛代数标准差,14.41,13.28
执行时间均值(s),14.94,15.21
执行时间标准差(s),0.54,1.01
Makespan改进率(%),-,1.49
收敛效率改进率(%),-,7.05
时间性能改进率(%),-,-1.85
