指标,随机初始化,推荐策略(heuristic)
Makespan均值,132.20,117.85
Makespan标准差,7.04,4.97
Makespan最小值,117,109
Makespan最大值,146,131
收敛代数均值,27.35,13.50
收敛代数标准差,11.80,7.45
执行时间均值(s),3.59,3.53
执行时间标准差(s),0.17,0.14
Makespan精度,0.8832,0.8946
求解稳定性,0.5869,0.6679
收敛效率,0.7265,0.8650
收敛稳定性,0.4588,0.5730
Makespan改进率(%),-,10.85
收敛速度改进率(%),-,50.64
稳定性改进率(%),-,29.36
收敛稳定性改进率(%),-,36.81
时间性能改进率(%),-,1.45
