指标,随机初始化,推荐策略(heuristic)
Makespan均值,127.60,117.20
Makespan标准差,7.59,4.51
Makespan最小值,112,107
Makespan最大值,140,124
收敛代数均值,27.05,5.70
收敛代数标准差,11.31,10.14
执行时间均值(s),20.11,18.46
执行时间标准差(s),0.71,0.52
Makespan评分,0.8868,0.8951
收敛速度评分,0.7295,0.9430
稳定性评分,0.5686,0.6891
收敛稳定性评分,0.4693,0.4964
Makespan改进率(%),-,8.15
收敛速度改进率(%),-,78.93
稳定性改进率(%),-,40.52
收敛稳定性改进率(%),-,10.28
时间性能改进率(%),-,8.23
