指标,随机初始化,推荐策略(heuristic)
Makespan均值,133.15,117.55
Makespan标准差,7.22,5.71
Makespan最小值,121,109
Makespan最大值,147,130
收敛代数均值,29.65,14.40
收敛代数标准差,12.33,5.66
执行时间均值(s),4.05,3.52
执行时间标准差(s),0.19,0.11
Makespan评分,0.8825,0.8948
收敛速度评分,0.7035,0.8560
稳定性评分,0.5807,0.6364
收敛稳定性评分,0.4479,0.6386
Makespan改进率(%),-,11.72
收敛速度改进率(%),-,51.43
稳定性改进率(%),-,20.86
收敛稳定性改进率(%),-,54.08
时间性能改进率(%),-,13.15
